target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
allenai_Olmo-3-1025-7B,C(semantic_role):C(syntactic_role),0.0018360424635416,8.202621000994962e-05,0.0968336628413753,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0017319690932683,0.0001073412514968,0.0913447888921447,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,"C(tense):C(valence, Treatment(reference='-val'))",0.0012828716005121,9.14629019858576e-05,0.0676591955248922,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(tense):C(semantic_role),0.0012273095639055,7.213470397919877e-05,0.0647288300097264,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0011049791112869,7.15351916305623e-05,0.0582770697485529,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0009366163967985,7.941516304944178e-05,0.0493975483575397,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(syntactic_role),0.0008935825905966,7.95078824763647e-05,0.047127927058858,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(syntactic_role):lex_emb_norm,0.0008555313803355,7.544214156806573e-05,0.045121089995831,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0008450408572951,7.736146949004986e-05,0.0445678153350876,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(tense):lex_emb_norm,0.0008410156331687,7.508536397431022e-05,0.0443555232973726,500,0,0.0189607870823738,OLS fixed-effect R2
allenai_Olmo-3-1025-7B,C(tense),0.0007936010272231,6.974749099849897e-05,0.0418548567512181,500,0,0.0189607870823738,OLS fixed-effect R2
