target_model,embedding_method,embedding_method_label,model_name,model_dir,formula,model_type,optimizer,converged,nobs,aic,bic,log_likelihood,residual_variance,R2m,R2c,warnings,fixed_effect_variance_C(tense),fixed_effect_variance_C(semantic_role),fixed_effect_variance_C(syntactic_role),"fixed_effect_variance_C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_log_frequency,fixed_effect_variance_lex_emb_norm,fixed_effect_variance_profession_embedding
EleutherAI_pythia-12b-deduped,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__EleutherAI_pythia-12b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,55640.066632196715,55809.46985802411,-27798.033316098357,1.7684325904492217,0.4625322294713333,0.4625322294713333,[],0.021062749395727196,0.00011035142884347893,0.001635997941419846,4.431656134791085e-05,0.0001525608667624479,-0.10274924145217479,-0.001556009571490189,1.6012127110217569
EleutherAI_pythia-2.8b-deduped,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49754.49939181583,49923.90261764322,-24855.249695907914,1.233010037139302,0.4499410376803461,0.4499410376803461,[],0.010464512336858354,0.0013960742889093539,6.941362113514108e-05,0.003217223908162062,0.003490755126740044,-0.06863317344777053,0.015213028881912208,1.0420703582433855
EleutherAI_pythia-6.9b-deduped,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,53593.521021549976,53762.92424737737,-26774.760510774988,1.560010470439097,0.4756322705897379,0.4756322705897379,[],0.007817684753545794,0.00024639114318237567,0.003413168937781657,0.0026088488724244903,0.00016954050614417988,-0.13669396454819804,0.001095428971985187,1.5345429399698456
Qwen_Qwen3-4B-Base,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__Qwen_Qwen3-4B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49476.39031485755,49645.79354068494,-24716.195157428774,1.2121763340534923,0.5125334273113172,0.5125334273113172,[],0.008530802986897464,0.00498512761197298,0.03218248493218152,0.003922792933674087,0.00019393314457922923,-0.09198091205360548,-0.002455424734147213,1.3174908327093773
Qwen_Qwen3-8B-Base,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__Qwen_Qwen3-8B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,51063.758506003935,51233.16173183133,-25509.879253001967,1.336003339849176,0.4935140736274871,0.4935140736274871,[],0.019667879624567328,0.0016763463453021434,0.02835896846790946,0.008587568665806788,0.0012466928693620366,-0.03397160554655132,-0.019081223675986397,1.2936264987095054
allenai_Olmo-3-1025-7B,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__allenai_Olmo-3-1025-7B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,50016.946985632974,50186.35021146037,-24986.473492816487,1.2529987925053774,0.5424215043984584,0.5424215043984584,[],0.010535637473029671,0.0006836333236006965,0.012097876504671753,0.0063266392038894585,0.00046964038699475434,0.0008675125340713574,0.010495561320840943,1.4419386703122703
allenai_Olmo-3-1125-32B,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__allenai_Olmo-3-1125-32B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,53665.08284184889,53826.78592104777,-26811.541420924445,1.5669618891816066,0.4837349075743841,0.4837349075743841,[],0.04141920171297025,,0.07908299493508456,0.00325614762120457,0.0032608675740473728,-0.09834672795862467,-0.0050085825199477855,1.4427633361212409
google_gemma-3-12b-pt,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__google_gemma-3-12b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49756.69253124631,49926.09575707371,-24856.346265623157,1.2331757445312301,0.48228177481701673,0.48228177481701673,[],0.009986042029022004,2.1825716081165835e-05,0.0056039164344248394,0.0008810346607792854,3.2755752818294045e-05,-0.07751044560188602,0.012287896523532422,1.1959867990233286
google_gemma-3-4b-pt,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__google_gemma-3-4b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,47841.66538369107,48011.068609518465,-23898.832691845535,1.0966393844364248,0.4845105929404101,0.4845105929404101,[],0.012014540384282226,0.00029958513433606685,0.03863208379397848,0.0030853658930124895,0.0003237895611339376,-0.08755786904875118,0.0026031385463575214,1.0600087932966562
gpt2,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__gpt2/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,42008.05769333616,42169.76077253504,-20983.02884666808,0.7670986564011876,0.5678205168018489,0.5678205168018489,[],0.0121888864525625,0.0026661820424529223,0.0001467867115113243,0.0023975786566796417,0.0007556681178630671,0.07109257430763016,0.09460626694784095,0.8227661014823848
meta-llama_Llama-3.1-70B,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__meta-llama_Llama-3.1-70B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_10",OLS,closed_form,True,16320,47646.16425215431,47807.86733135319,-23802.082126077155,1.0836471645391723,0.5017951991239886,0.5017951991239886,[],0.040220059855404534,0.00012879125019951357,0.0019060736209493459,0.00010152941943212688,0.0013707764264892848,0.005168565705874872,-0.00017500694166006498,1.04139821274764
meta-llama_Llama-3.1-8B,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__meta-llama_Llama-3.1-8B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,49152.06823575529,49313.77131495417,-24555.034117877643,1.1883976468109048,0.511599403280238,0.511599403280238,[],0.023053783181925164,,0.02315722171539086,0.00016378952700489655,0.0002757360718357886,-0.12918530247959084,-0.001637848691203268,1.3274929760094372
mistralai_Mistral-7B-v0.3,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__mistralai_Mistral-7B-v0.3/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,46523.4298703395,46692.8330961669,-23239.71493516975,1.0115422672943568,0.5713890582531296,0.5713890582531296,[],0.02398357918193891,0.00011580186563999832,0.001416550761568603,0.00022969615424300234,0.0018440699023184316,-0.1278417807259551,0.022048366847431056,1.4249738332608337
tiiuae_Falcon3-10B-Base,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__tiiuae_Falcon3-10B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,50558.16441122976,50719.86749042864,-25258.08220561488,1.2953277324204726,0.4748827362926533,0.4748827362926533,[],0.02734499467086043,0.00016604051821045472,0.020327413516482675,0.008114223381191395,0.00014813271584544025,-0.03140324425037733,0.11058017062581703,1.0346988434820812
tiiuae_Falcon3-3B-Base,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__tiiuae_Falcon3-3B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,44241.03578606041,44410.43901188781,-22098.517893030206,0.8795222512887699,0.527222225342209,0.527222225342209,[],0.014586083930211899,8.235203170065126e-05,0.014258648349099507,0.0006673461848772305,0.0011302381572014808,-0.07165036016562704,0.06499494105202079,0.9554754526342606
tiiuae_Falcon3-7B-Base,log_counts,log(1 + x) counts,selected_profession_embedding,profession_selected_collocates_data/runs/log_counts/he_she_odds_results__tiiuae_Falcon3-7B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,45829.30891260083,45998.71213842822,-22892.654456300414,0.9694215186312272,0.5294397559743595,0.5294397559743595,[],0.034862413629374756,0.0006125131744769155,0.04782602873317524,0.0070618381482151545,0.000245729817463959,-0.08177678730284776,0.054194208282783464,1.0262922160225796
EleutherAI_pythia-12b-deduped,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__EleutherAI_pythia-12b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,59990.35696357498,60144.359896145346,-29975.17848178749,2.308915447018089,0.2981808133349416,0.2981808133349416,[],0.021062749395727318,0.00011035142884346776,0.0016359979414199565,,0.00015256086676242777,0.08777873445887417,-0.018125400566660184,0.8872281303163755
EleutherAI_pythia-2.8b-deduped,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,52401.98217791434,52571.38540374173,-26178.99108895717,1.4501711363002774,0.35306314921009496,0.35306314921009496,[],0.01046451233685844,0.0013960742889093766,6.941362113511923e-05,0.003217223908162091,0.0034907551267401057,0.03897487697425156,-0.021673472823610825,0.7544671627271016
EleutherAI_pythia-6.9b-deduped,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,57647.449475289715,57816.85270111711,-28801.724737644858,1.9998956652854931,0.327773262465343,0.327773262465343,[],0.007817684753545856,0.0002463911431823814,0.0034131689377817228,0.0026088488724245627,0.00016954050614415546,0.07736368966952581,-0.0198119856488386,0.9020735689551772
Qwen_Qwen3-4B-Base,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__Qwen_Qwen3-4B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54768.47211717532,54937.87534300271,-27362.23605858766,1.6764644561672135,0.32582384284845745,0.32582384284845745,[],0.00853080298689739,0.004985127611973118,0.0321824849321819,0.003922792933674044,0.0001939331445792586,0.03593699047545185,-0.0015200795969392677,0.7249469291077408
Qwen_Qwen3-8B-Base,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__Qwen_Qwen3-8B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,55672.77693425422,55834.4800134531,-27815.38846712711,1.7720890653752013,0.3281504502517728,0.3281504502517728,[],0.019667879624567116,0.0016763463453021174,0.028358968467909612,0.008587568665806934,0.0012466928693620628,0.013128636004765132,,0.7918118915195504
allenai_Olmo-3-1025-7B,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__allenai_Olmo-3-1025-7B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,56139.637954824066,56309.04118065146,-28047.818977412033,1.8234031177979015,0.33411743051337095,0.33411743051337095,[],0.010535637473029583,0.000683633323600691,0.012097876504671819,0.006326639203889436,0.00046964038699479137,-0.0003165656953885432,0.003839980240059809,0.880108025460633
allenai_Olmo-3-1125-32B,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__allenai_Olmo-3-1125-32B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,58683.97877481359,58845.68185401247,-29320.989387406797,2.131165536395947,0.29784739487418044,0.29784739487418044,[],0.04141920171297015,,0.07908299493508476,0.0032561476212045817,0.0032608675740473667,0.03877146825986648,-0.0022944482666556387,0.7394188268427584
google_gemma-3-12b-pt,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__google_gemma-3-12b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54512.86206907424,54666.865001644604,-27236.43103453712,1.650613597759236,0.306945816888495,0.306945816888495,[],0.009986042029022027,,0.00560391643442467,0.0008810346607791847,,0.03295932322862231,-0.03272099242573668,0.7134775311210946
google_gemma-3-4b-pt,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__google_gemma-3-4b-pt/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,52472.15981924904,52641.56304507644,-26214.07990962452,1.4564204447307378,0.31539089135528264,0.31539089135528264,[],0.012014540384282334,0.00029958513433600635,0.03863208379397882,0.0030853658930124913,0.0003237895611339241,0.05138407277649601,-0.010223305461261357,0.5745752171239317
gpt2,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__gpt2/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,48126.798587014906,48296.2018128423,-24041.399293507453,1.1159675602369683,0.3713081247664608,0.3713081247664608,[],0.012188886452562385,0.0026661820424529934,0.00014678671151130797,0.002397578656679627,0.0007556681178630673,-0.040271128756125596,0.018016572038474184,0.6623465417951618
meta-llama_Llama-3.1-70B,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__meta-llama_Llama-3.1-70B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,52604.231728142,52765.93480734088,-26281.115864071,1.468344403890563,0.32493134730916406,0.32493134730916406,[],0.04022005985540433,0.0001287912501994714,0.0019060736209491472,0.00010152941943212634,0.0013707764264893145,-0.0020061031266583595,,0.6641721068715976
meta-llama_Llama-3.1-8B,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__meta-llama_Llama-3.1-8B/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54505.57395409291,54659.57688666328,-27232.786977046457,1.6498766384474575,0.32190191090061737,0.32190191090061737,[],0.023053783181925087,,0.02315722171539096,0.0001637895270049262,0.0002757360718357649,0.059233781844895805,,0.6764215224151184
mistralai_Mistral-7B-v0.3,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__mistralai_Mistral-7B-v0.3/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54615.09124131154,54784.49446713893,-27285.54562065577,1.6607822851971812,0.29629291596596985,0.29629291596596985,[],0.02398357918193892,0.00011580186563996692,0.0014165507615687503,0.0002296961542430294,0.0018440699023183757,0.04500546554127391,0.004966974883379969,0.6208034313885581
tiiuae_Falcon3-10B-Base,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__tiiuae_Falcon3-10B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,54076.91772936252,54230.92066193288,-27018.45886468126,1.6071056375922,0.3484500708812198,0.3484500708812198,[],0.02734499467086043,,0.020327413516482554,0.008114223381191384,,0.027260676782716053,0.09150581192285893,0.683929172749159
tiiuae_Falcon3-3B-Base,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__tiiuae_Falcon3-3B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,48964.33972922467,49126.04280842355,-24461.169864612333,1.1748058645174964,0.36845693144808755,0.36845693144808755,[],0.01458608393021212,,0.014258648349099602,0.0006673461848772342,0.0011302381572014652,0.05538298678244136,0.07239486503789647,0.5261489142537196
tiiuae_Falcon3-7B-Base,ppmi,PPMI,selected_profession_embedding,profession_selected_collocates_data/runs/ppmi/he_she_odds_results__tiiuae_Falcon3-7B-Base/models/selected_profession_embedding,"log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence, Treatment(reference='-val')) + log_frequency + lex_emb_norm + profession_embedding_1 + profession_embedding_2 + profession_embedding_3 + profession_embedding_4 + profession_embedding_5 + profession_embedding_6 + profession_embedding_7 + profession_embedding_8 + profession_embedding_9 + profession_embedding_10",OLS,closed_form,True,16320,50194.3823795877,50356.08545878658,-25076.19118979385,1.2667735710460966,0.3850664093097571,0.3850664093097571,[],0.03486241362937464,0.0006125131744769046,0.04782602873317572,0.007061838148215302,,0.051976529369504344,0.023777269177706145,0.6261545357445115
