target_model,predictor,folded_shapley_r2
google_gemma-3-4b-pt — PPMI,C(syntactic_role),0.0181829049981525
google_gemma-3-4b-pt — PPMI,C(tense),0.0056548657216865
google_gemma-3-4b-pt — PPMI,"C(valence, Treatment(reference='-val'))",0.0014521845421635
google_gemma-3-4b-pt — PPMI,lex_emb_norm,0.0051166458282832
google_gemma-3-4b-pt — PPMI,log_frequency,0.0292812596644305
google_gemma-3-4b-pt — PPMI,profession_embedding,0.2554096277666293
google_gemma-3-4b-pt — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0001523975476158
google_gemma-3-4b-pt — Raw counts,C(semantic_role),0.0001410052863196
google_gemma-3-4b-pt — Raw counts,C(syntactic_role),0.0181829049981525
google_gemma-3-4b-pt — Raw counts,C(tense),0.0056548657216865
google_gemma-3-4b-pt — Raw counts,"C(valence, Treatment(reference='-val'))",0.0014521845421635
google_gemma-3-4b-pt — Raw counts,lex_emb_norm,0.0007908165720452
google_gemma-3-4b-pt — Raw counts,log_frequency,0.0033555296191022
google_gemma-3-4b-pt — Raw counts,profession_embedding,0.4416174265082029
google_gemma-3-4b-pt — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0001523975476158
google_gemma-3-4b-pt — TF-IDF,C(semantic_role),0.0001410052863195
google_gemma-3-4b-pt — TF-IDF,C(syntactic_role),0.0181829049981525
google_gemma-3-4b-pt — TF-IDF,C(tense),0.0056548657216865
google_gemma-3-4b-pt — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0014521845421635
google_gemma-3-4b-pt — TF-IDF,lex_emb_norm,0.0028528891689447
google_gemma-3-4b-pt — TF-IDF,log_frequency,0.0144211808581372
google_gemma-3-4b-pt — TF-IDF,profession_embedding,0.6223117778418691
google_gemma-3-4b-pt — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0001523975476158
google_gemma-3-4b-pt — log(1 + x) counts,C(semantic_role),0.0001410052863196
google_gemma-3-4b-pt — log(1 + x) counts,C(syntactic_role),0.0181829049981525
google_gemma-3-4b-pt — log(1 + x) counts,C(tense),0.0056548657216865
google_gemma-3-4b-pt — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0014521845421635
google_gemma-3-4b-pt — log(1 + x) counts,lex_emb_norm,0.001236853012221
google_gemma-3-4b-pt — log(1 + x) counts,log_frequency,0.015074502369301
google_gemma-3-4b-pt — log(1 + x) counts,profession_embedding,0.4426158794629481
gpt2 — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0004262619877945
gpt2 — PPMI,C(semantic_role),0.0015039566052514
gpt2 — PPMI,C(syntactic_role),8.280036427576132e-05
gpt2 — PPMI,C(tense),0.0068755831368979
gpt2 — PPMI,"C(valence, Treatment(reference='-val'))",0.001352441131141
gpt2 — PPMI,lex_emb_norm,0.0317532525884283
gpt2 — PPMI,log_frequency,0.0229512928761282
gpt2 — PPMI,profession_embedding,0.3063625360765424
