target_model,predictor,unique_r2,relative_r2
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_5,0.0147060130594746,0.0327611697051224
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_3,0.0089071552231838,0.0198428236583532
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_9,0.0033426532747763,0.0074465615362538
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(tense),0.0026311513221795,0.0058615203615805
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(syntactic_role),0.0011487498212808,0.0025591156278394
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0008780446355212,0.00195605492778
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_7,0.0006760500666213,0.0015060635994383
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,profession_embedding_8,0.0003341132924647,0.0007443174591854
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,C(semantic_role),8.29263909450928e-05,0.0001847384165781
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",5.7061232445088095e-05,0.0001271175751141
EleutherAI_pythia-6.9b-deduped — log(1 + x) counts,lex_emb_norm,1.4789541044613053e-05,3.294724831699232e-05
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_4,0.0868106380172847,0.2181513972657535
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_5,0.0653041062899307,0.1641064086120776
EleutherAI_pythia-6.9b-deduped — PPMI,log_frequency,0.0526722151357575,0.132363009780668
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_3,0.0411584724302264,0.103429469878912
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_7,0.0407706333172186,0.1024548468793655
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_10,0.0343934039018455,0.0864291438155208
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_9,0.0219098851805649,0.055058598522462
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_1,0.0194993937408484,0.0490011372748372
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_6,0.0191348465554992,0.0480850458870814
EleutherAI_pythia-6.9b-deduped — PPMI,profession_embedding_8,0.0056532106330358,0.0142062750234461
EleutherAI_pythia-6.9b-deduped — PPMI,lex_emb_norm,0.0055255211006862,0.0138853967240294
