target_model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
Qwen_Qwen3-8B-Base — log(1 + x) counts,lex_emb_norm,0.0065907097508605,8.348790465641894e-05,0.0133546541082743,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,"C(valence, Treatment(reference='-val'))",0.0032597874995638,5.924414672820729e-18,0.0066052574257981,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,C(semantic_role),0.0006363306162677,6.551682958861426e-18,0.0012893869704474,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — log(1 + x) counts,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154,6.296584742936923e-18,0.0009589125459725,500,0,0.0,0.4935140736274871
Qwen_Qwen3-8B-Base — PPMI,profession_embedding,0.2873290988397709,0.0007933854168854,0.8756017205501874,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,log_frequency,0.018221304496601,0.0007933854168854,0.0555272878114924,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,C(syntactic_role),0.0107648875379946,6.688194241822339e-18,0.032804731883608,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,C(tense),0.007465804424758,7.36629924543007e-18,0.0227511631296861,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,"C(valence, Treatment(reference='-val'))",0.0032597874995638,6.629723671472762e-18,0.0099338199812396,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,C(semantic_role),0.0006363306162676,7.660256726951068e-18,0.0019391429016156,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — PPMI,"C(dominance, Treatment(reference='-dom'))",0.0004732368368153,8.471673346425168e-18,0.0014421337421669,500,0,0.0,0.3281504502517728
Qwen_Qwen3-8B-Base — Raw counts,profession_embedding,0.4957910936276729,0.0001023802438654,0.9506981077039304,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,C(syntactic_role),0.0107648875379946,7.149779895910086e-18,0.0206420775676595,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,C(tense),0.007465804424758,7.280844943296367e-18,0.0143159613602001,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,"C(valence, Treatment(reference='-val'))",0.0032597874995638,6.0182434871458124e-18,0.0062507653872451,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,lex_emb_norm,0.0025205351574035,0.0001050774821627,0.0048332211597659,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,C(semantic_role),0.0006363306162677,6.385804526515599e-18,0.0012201879391042,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,log_frequency,0.0005904600564557,1.1089107960926305e-05,0.0011322294118674,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154,6.4822366215050235e-18,0.000907449470228,500,0,0.0,0.5215021357569314
Qwen_Qwen3-8B-Base — TF-IDF,profession_embedding,0.6724674341287389,0.0008445098007215,0.93281531748402,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,lex_emb_norm,0.0206923396969254,0.0007289629456048,0.0287034441286854,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,C(syntactic_role),0.0107648875379946,6.903706955974169e-18,0.0149325476250674,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,C(tense),0.007465804424758,7.035902625100304e-18,0.0103562141024379,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,log_frequency,0.0051411138003105,0.00022640504638,0.0071315121870125,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,"C(valence, Treatment(reference='-val'))",0.0032597874995638,5.67300230460876e-18,0.0045218244884613,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,C(semantic_role),0.0006363306162677,6.051085762399223e-18,0.0008826880168667,500,0,0.0,0.7209009345413744
Qwen_Qwen3-8B-Base — TF-IDF,"C(dominance, Treatment(reference='-dom'))",0.0004732368368154,6.338460576738623e-18,0.0006564519674488,500,0,0.0,0.7209009345413744
allenai_Olmo-3-1025-7B — log(1 + x) counts,profession_embedding,0.5062037493516643,0.0010062480320304,0.9332295000233088,500,0,0.0,0.5424215043984584
allenai_Olmo-3-1025-7B — log(1 + x) counts,log_frequency,0.0216656361457004,0.0010136882343351,0.0399424358548017,500,0,0.0,0.5424215043984584
