target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance,converged_rate
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_tense_C_semantic_role_,1,7227.793968648293,7486.682019121947,0.9021076856602464,0.0020500589234818,0.0302439672505698,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_tense_C_syntactic_role_,1,7251.255270463538,7496.517634070157,0.9017114030638584,0.0020462488362022,0.0302461819634756,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_tense_C_syntactic_role_,1,7252.166568978566,7490.616089151667,0.9016439258239952,0.0020457758213653,0.0302548374587421,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_tense_C_syntactic_role_,1,7253.167909354219,7505.243116394355,0.9017126671031037,0.0020462662301615,0.0302462032511071,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__4__C_tense_C_syntactic_role_,1,7253.343388872403,7484.980065611988,0.9015979801551429,0.0020451021444834,0.0302574569521413,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_tense_C_syntactic_role_,1,7255.167799624425,7514.055850098079,0.9017126686902337,0.0020462662520209,0.030246203277788,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,1,4588.319404038026,4840.394611078162,0.9233780354736705,0.0053718023360211,0.0191471772478278,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed,1,4589.393500855513,4834.655864462132,0.9233377308352061,0.005369608596278,0.0191425598457959,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_syntactic_role_C_semantic_role_,1,4589.393500855513,4834.655864462132,0.9233377308352061,0.005369608596278,0.0191425598457959,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_tense_C_semantic_role_,1,4589.4110133234935,4848.299063797147,0.923404865099446,0.0053783264524379,0.0191323073507392,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_dominance_C_semantic_role_,1,4591.253924764656,4836.516288371276,0.9233198123474645,0.0053812612644324,0.0191169003585995,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_valence_C_semantic_role_,1,4591.9098029614615,4837.172166568081,0.923355006795032,0.0053817683392496,0.0191174801663714,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_syntactic_role_C_dominance_,1,4592.058072870321,4878.197497078043,0.9233810890917348,0.0053683580294127,0.0191744131713714,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_dominance_C_semantic_role_,1,4592.325752443125,4830.775272616226,0.9232588086036924,0.0053628242194711,0.0191917584626444,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_valence_C_semantic_role_,1,4592.981299229024,4831.430819402126,0.9233147770406008,0.0053685746767313,0.0191591663930349,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,1,4593.135035940264,4872.461616714469,0.923447366141609,0.0053786669752474,0.0191343972696304,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__full,1,4593.148779520743,4886.101047161983,0.9234607126351464,0.0053741684931562,0.0191433800281897,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_syntactic_role_C_semantic_role_,1,4594.22621266928,4880.3656368770025,0.9234646247821351,0.0053730928045404,0.0191464211029692,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_dominance_C_semantic_role_,1,4594.9971657058195,4874.323746480024,0.9234146033439007,0.0053805557044068,0.0191279923168261,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_valence_C_semantic_role_,1,4595.65365000836,4874.980230782565,0.9233981912967352,0.0053766265198075,0.0191359878986223,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_dominance_C_semantic_role_,1,4596.088576826383,4882.228001034106,0.9234305668666202,0.0053817203511161,0.0191270732584552,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_valence_C_semantic_role_,1,4596.745167880137,4882.884592087859,0.9234195316617192,0.0053813924546552,0.019126669900929,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_tense_C_dominance_,1,4606.702324650963,4824.713314523514,0.923048560730972,0.0053714172620001,0.0191402469941678,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_tense_C_dominance_,1,4607.763389652238,4818.961536091271,0.9230116268255133,0.00537076999826,0.0191409544859108,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_dominance_,1,4610.467534133415,4862.542741173551,0.9231263922474988,0.0053727000369757,0.0191396570006578,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_tense_C_dominance_,1,4611.562135328953,4870.450185802607,0.9231376324439672,0.0053728746501239,0.0191399743472932,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_syntactic_role_C_valence_,1,4618.551636957993,4863.814000564612,0.9230021799362478,0.0053706048331899,0.0191410948309516,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_syntactic_role_C_valence_,1,4619.61093865869,4858.060458831792,0.9229657887005095,0.0053699772339472,0.0191413758669283,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_tense_C_valence_,1,4620.000808449651,4838.011798322202,0.9228910953856057,0.0053687874295874,0.0191404015289417,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_tense_C_valence_,1,4621.055785596749,4832.253932035782,0.9228555606251588,0.0053682831760815,0.0191393051117881,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_syntactic_role_C_valence_,1,4622.320440593816,4901.64702136802,0.9230777524893834,0.005371920567638,0.0191396968341235,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_syntactic_role_C_valence_,1,4623.415564236428,4909.55498844415,0.9230890392228623,0.0053721093102451,0.0191395481690762,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_valence_,1,4623.778426058212,4875.853633098348,0.922963810070755,0.0053699437140619,0.0191413776851999,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__0__C_tense_C_valence_,1,4624.874830261637,4883.76288073529,0.9229745020242135,0.0053701257431823,0.0191413504423425,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__2__C_tense_C_syntactic_role_,1,4651.0461859997085,4869.057175872259,0.9225300599298504,0.0053640781257919,0.0191345555141898,,,1.0
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__3__C_tense_C_syntactic_role_,1,4652.086996972714,4863.2851434117465,0.9224950157278269,0.0053636324904921,0.0191354790689182,,,1.0
