profession,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5,profession_embedding_6,profession_embedding_7,profession_embedding_8,profession_embedding_9,profession_embedding_10
programmer,5.3841967640337405,-1.326253830028404,0.17168210259359398,3.9820281590243476,-2.5818965999111114,3.4645350077180948,-2.2917435143858036,-3.1554611999071804,0.10186009083425536,-2.512252905039564
midwife,1.1748195525235812,1.021341931967515,-0.8169629955867431,0.5791394724757875,1.3285443211812749,0.41519771038106595,0.39122049485504623,1.4157739566645544,-0.426177897331331,0.3520110045574433
accountant,3.2707821615689476,0.8190959299456402,-0.629519134782388,1.978725974488133,0.6020918086564986,0.41890112046734296,-1.7166584051942237,-1.4024940058304356,-3.792792721943814,-1.1018861588377562
paralegal,1.4950126612103398,0.6877155838595066,-0.8625625531670846,0.57928595876095,0.4718059313034035,1.8343078514266595,-1.4498864418793713,0.6866231875722086,-1.363270143452218,-0.34913853344537293
cashier,2.249872098488878,-0.10453829921805287,-0.8957005412450428,2.4118397414831905,-1.545366416223928,1.5748555558850261,-0.28094185043555014,0.5316732376159179,0.4291868970877868,0.7866827374747339
scrivener,1.5266596962153527,-0.8424535943695703,-0.5304917480005368,0.8743905737938449,-0.516216713419667,1.7327036394370783,5.309064860818779,-0.7388519516439636,-2.8797824357440454,4.019572679343328
salesperson,1.2822629277188027,0.024982927092188096,-0.47954421360929084,-0.173195336711199,0.6387892991338401,0.32329987693766554,-0.11927191171310565,0.67542293131566,0.7272333933222184,0.3577659538545484
bodyguard,4.308918086102601,4.1351907062143605,0.6637470002353486,-3.9699820988261387,3.533368112291741,1.8849950898711834,-1.1508922079585058,-3.52047897268247,4.07083078246425,3.6054820586736294
agronomist,1.8872577492956397,1.592278489875072,2.288244331453906,-0.14591596756255187,-0.5240577359910706,3.1309780768625783,0.8293536446106518,0.2804102064865684,0.09524379113614902,-2.022145058727996
fisherman,1.7713111006820945,0.23976211008073714,-1.60602228549218,-0.855887745034415,0.7632248381243841,-1.3746198652823918,2.8265887031636368,1.4912214090062292,1.1705042362791556,-2.5177052629684287
