target_model,model,predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc:C(syntactic_role),0.1615805395795695,0.0102987467749421,0.3129708597912491,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,C(tense):C(syntactic_role),0.0071266140439698,0.0003151433851622,0.0138037818820581,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,C(syntactic_role),0.0058130392705171,0.0002401789932082,0.0112594740878317,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,"C(tense):C(valence, Treatment(reference='-val'))",0.0040921547181736,0.0001885061108905,0.0079262340865927,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0023848899707788,0.0001500555979343,0.0046193747502287,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,C(tense),0.0018216562796409,0.0001435430424423,0.0035284281978932,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,"C(valence, Treatment(reference='-val'))",0.0016168545997836,7.296173010840572e-05,0.0031317408369126,500,0,0.5162798213461258
Qwen_Qwen3-8B-Base,Human-Perception Model,"C(dominance, Treatment(reference='-dom'))",0.0002214748396296,1.0570779472698611e-05,0.0004289821729854,500,0,0.5162798213461258
allenai_Olmo-3-1025-7B,World-Knowledge Model,male_perc:C(semantic_role),0.1422911539616533,0.0104109841395773,0.2703264228658635,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,male_perc,0.133792534633494,0.0102105254843997,0.2541806450130875,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1333517575121168,0.0101842233495031,0.2533432514071919,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1141973785829044,0.0096599141447992,0.2169535350124069,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,"C(valence, Treatment(reference='-val'))",0.0023133814603697,5.084403794114542e-18,0.0043949895513145,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,C(semantic_role),0.0002499754775863,4.428359427112111e-18,0.0004749063787781,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,World-Knowledge Model,"C(dominance, Treatment(reference='-dom'))",0.0001717274099725,5.3667236667187675e-18,0.0003262497713554,500,0,0.5263679090380984
allenai_Olmo-3-1025-7B,Human-Perception Model,"male_perc:C(valence, Treatment(reference='-val'))",0.1364875200425893,0.0102622874929605,0.253206280164894,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,male_perc:C(tense),0.1341418214161475,0.0101307658848238,0.2488546323116403,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"male_perc:C(dominance, Treatment(reference='-dom'))",0.1298761912352671,0.0101036060408484,0.2409412029349266,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,male_perc,0.1264757553957249,0.0100203739439447,0.2346328480787376,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,C(tense):C(syntactic_role),0.0023450881728534,0.0001269945662841,0.0043505153637608,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0023314877968126,0.00011797402053,0.0043252844809296,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(tense):C(valence, Treatment(reference='-val'))",0.0019689697369255,0.0001045227482588,0.0036527552313104,500,0,0.539036867307183
allenai_Olmo-3-1025-7B,Human-Perception Model,"C(tense):C(dominance, Treatment(reference='-dom'))",0.0013697378756871,7.844378674573923e-05,0.0025410838455815,500,0,0.539036867307183
